date,yield,close,close_1
2018/8/2,3.4713,206.5271,96.64515668
2018/8/3,3.4567,206.8777,96.65879542
2018/8/6,3.4568,206.9429,96.65870199
2018/8/7,3.4876,206.6955,96.62993441
2018/8/8,3.5222,206.1947,96.59763799
2018/8/9,3.5476,205.9047,96.57394281
2018/8/10,3.5525,205.8174,96.56937302
2018/8/13,3.5826,205.4631,96.54131099
2018/8/14,3.5519,205.7886,96.56993257
2018/8/15,3.5829,205.5304,96.54103139
2018/8/16,3.6141,205.2375,96.51196121
2018/8/17,3.6524,204.9286,96.47629963
2018/8/20,3.6326,204.9624,96.49473235
2018/8/21,3.63,204.8077,96.49715333
2018/8/22,3.6075,205.1292,96.51810921
2018/8/23,3.6101,205.2015,96.51568718
2018/8/24,3.6278,205.1411,96.49920195
2018/8/27,3.6303,205.0641,96.49687398
2018/8/28,3.6101,205.1592,96.51568718
2018/8/29,3.6101,205.1794,96.51568718
2018/8/30,3.5801,205.5646,96.5436411
2018/8/31,3.5751,205.5986,96.54830167
2018/9/3,3.5951,205.3867,96.52966212
2018/9/4,3.6101,205.1295,96.51568718
2018/9/5,3.6101,205.0978,96.51568718
2018/9/6,3.6101,205.0692,96.51568718
2018/9/7,3.6301,204.9597,96.49706022
2018/9/10,3.6551,204.8524,96.47378663
2018/9/11,3.6751,204.6497,96.45517583
2018/9/12,3.6551,204.7379,96.47378663
2018/9/13,3.6526,204.9089,96.47611348
2018/9/14,3.6351,205.1,96.4924046
2018/9/17,3.6327,205.2213,96.49463924
2018/9/18,3.6452,205.1059,96.48300162
2018/9/19,3.6727,204.8732,96.45740875
